team,end_2019,end_2018,end_2017,end_2016,end_2015,end_2014,end_2013,end_2012,end_2011,end_2010,Total
Manchester City,-22.99,-226.15,-178.15,-140.86,-57.68,-104.7,-17.65,-59.85,-146.46,-116.35,-1070.83
Manchester United,-52.15,-152.9,-137.85,-53.93,-146.06,-75.33,-65.57,-47.84,-11.99,77.07,-666.55
Tottenham,5.35,-17.7,-31.3,16.58,-4.32,13.55,-0.47,33.8,-23.67,-8.6,-16.78
Liverpool,-143.7,20.62,5.48,-34.85,-52.16,-25.5,-60.15,-43.63,3.98,5.05,-324.86
Chelsea,-148.25,-60,-24.4,-3.01,7.15,-52.92,-84.25,-64.05,-105,-26.2,-560.93
Arsenal,-75.1,3.35,-102.65,-24,-91.18,-37.1,9.85,12.82,-13.4,35.7,-281.72
Burnley ,-25,14.26,-44.4,-5.01,-12.62,4.65,6.35,2.72,0.88,-13.45,-71.63
Everton ,-71.15,-76.72,-25.1,-37.9,-38.26,14.3,-2.9,19.6,4.9,5.04,-208.19
Leicester ,-18.8,-39.95,-25.55,-40.45,-22.86,0.65,-1.72,-16.71,-2.5,-0.81,-168.69
Newcastle United,-16.27,-24.78,37.13,-103.28,-21.41,22.07,-17.17,-10.01,27.77,20.79,-85.16
Crystal Palace,-11.5,-45.95,-51.1,-23.4,-28.41,-33,14.67,-0.77,-0.65,4.4,-175.72
Bournemouth,-68.9,-34.3,-15.2,-54.46,-1.12,-4.06,-0.63,0.52,1.94,0,-176.2
West Ham,-90.49,12.22,-42.5,-34.19,-30.75,-23.47,-18.85,-2.49,-10.88,19.65,-221.72
Watford ,21.74,-54.66,-11.85,-73.78,-8.45,2.08,3.99,7.19,-0.73,7.31,-107.16
Brighton ,-72.76,-64.5,-8.75,-13.45,9.42,4.65,-0.67,-4.15,-0.65,-0.43,-151.29
Huddersfield ,-38.37,-50.9,-3,9.77,3.38,-0.83,6.65,1.01,0.32,-1.73,-73.71
Southampton ,-38.35,37.1,16.15,-7.4,27.79,-35.4,-41.5,8.73,-2.82,2.25,-33.44
Wolverhampton ,-89.2,-18.29,-33.11,5.73,-2.02,4.26,15.15,-9.45,-13.78,-18.58,-159.3
Cardiff ,-51.2,-10.02,2.68,5.9,12.98,-42.08,-11.55,-0.92,0.34,-1.23,-95.09
Fulham,-107.5,-1.37,-1.77,0.86,0.47,-25.35,21.42,-10.68,1.56,-7.11,-129.47
